Htno,Subcode,Subname,Grade,Credits
20L31A1934,1000201110,Technical English Communication Lab,A,1.5
20L31A1934,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1934,1005201212,Data Structures Lab,C,1.5
20L31A1934,1019201210,IT Workshop,A,1.5
20L31A1934,1000201121,Constitution of India,CP,-
20L31A1935,1000201102,Technical English Communication,A,2
20L31A1935,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1935,1002201202,Network Analysis,D,3
20L31A1935,1005201203,Data Structures,B,3
20L31A1935,1019201200,Digital Logic Design Principles,B,3
20L31A1935,1000201110,Technical English Communication Lab,O,1.5
20L31A1935,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1935,1005201212,Data Structures Lab,B,1.5
20L31A1935,1019201210,IT Workshop,O,1.5
20L31A1935,1000201121,Constitution of India,CP,-
20L31A1936,1000201102,Technical English Communication,A,2
20L31A1936,1000201203,Wave Optics and Semiconductor Physics,A,3
20L31A1936,1002201202,Network Analysis,C,3
20L31A1936,1005201203,Data Structures,C,3
20L31A1936,1019201200,Digital Logic Design Principles,B,3
20L31A1936,1000201110,Technical English Communication Lab,O,1.5
20L31A1936,1000201211,Wave Optics and Semiconductor Physics Lab,O,1.5
20L31A1936,1005201212,Data Structures Lab,B,1.5
20L31A1936,1019201210,IT Workshop,O,1.5
Htno,Subcode,Subname,Grade,Credits
20L31A1936,1000201121,Constitution of India,CP,-
20L31A1937,1000201102,Technical English Communication,B,2
20L31A1937,1000201203,Wave Optics and Semiconductor Physics,A,3
20L31A1937,1002201202,Network Analysis,D,3
20L31A1937,1005201203,Data Structures,B,3
20L31A1937,1019201200,Digital Logic Design Principles,A,3
20L31A1937,1000201110,Technical English Communication Lab,O,1.5
20L31A1937,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1937,1005201212,Data Structures Lab,O,1.5
20L31A1937,1019201210,IT Workshop,O,1.5
20L31A1937,1000201121,Constitution of India,CP,-
20L31A1938,1000201102,Technical English Communication,C,2
20L31A1938,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1938,1002201202,Network Analysis,F,0
20L31A1938,1005201203,Data Structures,F,0
20L31A1938,1019201200,Digital Logic Design Principles,F,0
20L31A1938,1000201110,Technical English Communication Lab,C,1.5
20L31A1938,1000201211,Wave Optics and Semiconductor Physics Lab,AB,0
20L31A1938,1005201212,Data Structures Lab,C,1.5
20L31A1938,1019201210,IT Workshop,C,1.5
20L31A1938,1000201121,Constitution of India,CP,-
20L31A1939,1000201102,Technical English Communication,B,2
20L31A1939,1000201203,Wave Optics and Semiconductor Physics,D,3
20L31A1939,1002201202,Network Analysis,D,3
20L31A1939,1005201203,Data Structures,D,3
20L31A1939,1019201200,Digital Logic Design Principles,F,0
20L31A1939,1000201110,Technical English Communication Lab,B,1.5
20L31A1939,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1939,1005201212,Data Structures Lab,B,1.5
20L31A1939,1019201210,IT Workshop,B,1.5
20L31A1939,1000201121,Constitution of India,CP,-
20L31A1940,1000201102,Technical English Communication,D,2
20L31A1940,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1940,1002201202,Network Analysis,F,0
20L31A1940,1005201203,Data Structures,F,0
20L31A1940,1019201200,Digital Logic Design Principles,F,0
20L31A1940,1000201110,Technical English Communication Lab,O,1.5
20L31A1940,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
